ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20200522,1366.0,1366.1,1322.88,1328.2,34427.46,4608696.074
600519.SH,20200521,1355.0,1371.96,1352.86,1366.1,23051.58,3147105.462
600519.SH,20200520,1346.11,1359.18,1336.81,1351.0,21183.4,2859455.106
600519.SH,20200519,1364.0,1364.0,1338.0,1346.11,24787.46,3342210.487
600519.SH,20200518,1306.0,1351.5,1305.13,1346.21,34362.11,4587989.708
600519.SH,20200515,1329.0,1333.5,1301.88,1313.0,26398.08,3469736.812
600519.SH,20200514,1330.0,1334.88,1325.11,1326.59,18574.92,2467976.357
600519.SH,20200513,1333.0,1337.99,1322.88,1335.95,22014.31,2931464.95
600519.SH,20200512,1318.0,1334.99,1316.0,1333.0,19721.81,2621824.685
600519.SH,20200511,1320.0,1335.0,1313.67,1323.01,23671.19,3135990.964
600519.SH,20200508,1317.0,1338.0,1308.51,1314.61,29078.68,3839218.026
600519.SH,20200507,1299.4,1314.99,1293.0,1312.0,27934.74,3647628.296
600519.SH,20200506,1251.0,1300.0,1250.0,1300.0,35834.81,4598589.768
600519.SH,20200430,1271.0,1285.01,1258.88,1265.7,24660.87,3134408.881
600519.SH,20200429,1277.8,1288.1,1258.0,1274.9,23444.06,2976724.957
600519.SH,20200428,1285.31,1299.94,1271.88,1279.13,34661.9,4458549.425
600519.SH,20200427,1257.0,1278.17,1250.96,1276.0,25903.91,3284513.346
600519.SH,20200424,1248.0,1259.89,1235.18,1250.56,19122.4,2390444.036
600519.SH,20200423,1250.0,1265.68,1247.77,1252.26,26898.51,3377042.463
600519.SH,20200422,1206.0,1249.5,1202.22,1244.5,44034.73,5430377.598
600519.SH,20200421,1221.02,1223.99,1193.0,1200.0,29224.22,3517018.487
600519.SH,20200420,1221.0,1231.5,1216.8,1227.3,24238.64,2963483.323
600519.SH,20200417,1210.0,1234.56,1205.01,1226.0,38245.69,4676618.151
600519.SH,20200416,1192.97,1197.1,1184.1,1197.1,21727.74,2588431.844
600519.SH,20200415,1192.0,1203.99,1187.1,1189.6,29332.29,3501318.26
600519.SH,20200414,1176.0,1191.55,1166.0,1185.1,36799.55,4340858.665
600519.SH,20200413,1165.0,1169.98,1148.5,1162.3,15981.47,1854563.731
600519.SH,20200410,1157.88,1181.5,1153.5,1165.0,27804.34,3252600.672
600519.SH,20200409,1166.0,1169.0,1147.96,1158.5,22816.97,2640230.492
600519.SH,20200408,1152.0,1166.31,1152.0,1159.76,24224.42,2809422.1
600519.SH,20200407,1161.95,1166.5,1148.89,1159.95,43488.0,5041525.481
600519.SH,20200403,1139.03,1147.96,1131.98,1139.79,27617.61,3148421.866
600519.SH,20200402,1104.0,1145.0,1103.88,1145.0,45205.61,5095167.594
600519.SH,20200401,1117.0,1129.0,1103.0,1103.0,33205.35,3700184.247
600519.SH,20200331,1082.0,1115.0,1081.8,1111.0,47984.37,5293170.703
600519.SH,20200330,1060.25,1077.0,1057.0,1072.0,30687.41,3279823.025
600519.SH,20200327,1085.0,1092.0,1075.01,1075.5,36261.12,3931759.353
600519.SH,20200326,1073.33,1091.2,1062.0,1064.92,30048.56,3231754.298
600519.SH,20200325,1087.98,1091.36,1074.2,1080.1,37048.66,4015061.222
600519.SH,20200324,1043.0,1058.88,1035.0,1056.0,46650.96,4900364.144
600519.SH,20200323,1000.0,1035.28,991.52,1019.0,48472.1,4918121.944
600519.SH,20200320,1011.0,1043.0,1011.0,1035.28,60139.19,6169094.444
600519.SH,20200319,993.99,1015.0,960.1,996.0,102265.07,10075880.47
600519.SH,20200318,1040.0,1060.0,1007.99,1007.99,73459.88,7582762.547
600519.SH,20200317,1055.0,1078.0,1011.12,1045.1,79359.12,8277472.787
600519.SH,20200316,1103.98,1107.95,1062.0,1067.0,51232.54,5548946.745
