ts_code,trade_date,open,high,low,close,vol,amount
002594.SZ,20220328,234.9,234.9,228.88,230.4,143103.54,3306510.715
002594.SZ,20220325,247.1,248.96,234.01,235.31,208023.73,4984988.435
002594.SZ,20220324,243.7,250.0,242.4,247.08,113681.27,2794432.827
002594.SZ,20220323,250.0,251.0,246.27,247.17,148500.96,3696654.258
002594.SZ,20220322,245.0,247.4,242.02,244.8,115079.07,2815900.951
002594.SZ,20220321,240.0,248.87,238.17,245.38,279177.68,6829415.269
002594.SZ,20220318,234.9,238.87,232.05,234.5,150548.56,3530653.259
002594.SZ,20220317,240.38,240.88,234.66,234.9,315844.3,7518685.379
002594.SZ,20220316,221.0,230.0,214.2,229.43,333766.27,7432043.601
002594.SZ,20220315,211.13,222.0,209.43,212.8,198203.62,4269341.883
002594.SZ,20220314,225.0,225.0,219.0,219.0,150840.61,3336922.826
002594.SZ,20220311,222.0,231.79,220.02,229.85,186116.04,4186645.901
002594.SZ,20220310,232.91,233.43,229.0,229.1,248342.83,5744789.049
002594.SZ,20220309,217.0,223.6,210.0,223.59,251135.22,5484773.703
002594.SZ,20220308,221.08,225.49,210.0,216.19,291499.34,6317187.685
002594.SZ,20220307,226.89,227.69,220.02,223.61,236129.2,5286036.163
002594.SZ,20220304,237.31,241.86,230.0,233.8,291706.34,6857430.687
002594.SZ,20220303,249.52,250.86,244.0,245.21,99633.4,2449485.385
002594.SZ,20220302,249.0,249.36,243.96,248.6,121242.47,2998567.642
002594.SZ,20220301,255.0,256.61,249.25,251.78,176519.58,4476714.982
002594.SZ,20220228,246.9,250.19,246.0,249.6,118290.9,2936223.651
002594.SZ,20220225,249.9,252.38,247.83,247.84,146013.53,3646918.799
002594.SZ,20220224,248.11,251.78,241.58,244.86,238219.88,5865805.706
002594.SZ,20220223,241.9,252.52,239.01,252.0,291148.9,7232161.935
002594.SZ,20220222,239.0,239.0,234.3,237.45,125452.11,2966441.429
002594.SZ,20220221,241.0,245.8,239.64,241.89,109538.04,2657589.017
002594.SZ,20220218,241.0,245.39,240.0,242.96,99104.66,2407158.413
002594.SZ,20220217,242.24,248.74,239.0,245.41,191063.86,4670631.745
002594.SZ,20220216,242.0,244.99,240.39,240.6,128724.91,3117890.74
002594.SZ,20220215,232.18,239.96,232.18,238.31,158524.28,3757722.229
002594.SZ,20220214,230.2,235.0,225.0,231.98,133199.49,3079221.402
002594.SZ,20220211,236.05,240.12,228.5,230.19,199439.26,4646313.004
002594.SZ,20220210,246.77,248.0,238.1,240.12,146284.6,3521519.984
002594.SZ,20220209,239.05,246.4,235.03,245.18,199928.64,4854528.826
002594.SZ,20220208,243.0,243.0,230.64,236.97,199039.53,4669048.973
002594.SZ,20220207,240.79,249.28,238.01,244.4,251124.53,6117950.238
002594.SZ,20220128,239.98,242.0,219.76,226.8,324373.11,7392709.579
002594.SZ,20220127,247.0,249.3,241.0,241.27,132649.63,3242987.819
002594.SZ,20220126,245.0,251.38,242.31,249.49,174445.84,4321964.224
002594.SZ,20220125,248.0,251.0,240.0,240.31,172772.23,4222848.972
002594.SZ,20220124,246.08,252.88,244.27,251.4,108376.86,2706367.141
002594.SZ,20220121,251.08,255.74,246.33,250.4,112394.32,2822719.636
002594.SZ,20220120,252.1,253.71,247.0,251.07,149986.47,3759819.343
002594.SZ,20220119,265.95,267.88,250.31,252.97,231881.8,5960665.206
002594.SZ,20220118,266.41,268.96,262.3,266.08,125054.43,3325099.879
002594.SZ,20220117,253.02,267.49,253.02,266.49,241144.66,6349270.849
002594.SZ,20220114,250.8,257.3,250.0,253.14,149548.15,3798549.606
002594.SZ,20220113,257.74,258.56,248.61,255.31,217103.9,5516666.113
002594.SZ,20220112,246.0,256.0,244.31,256.0,323602.24,8103336.076
002594.SZ,20220111,246.28,246.28,237.8,239.09,212441.47,5100240.704
002594.SZ,20220110,245.0,249.47,239.03,246.3,162141.82,3964485.468
002594.SZ,20220107,251.8,252.96,245.0,246.5,161933.55,4009535.493
002594.SZ,20220106,250.0,254.53,247.89,250.02,175907.84,4396413.606
002594.SZ,20220105,264.55,266.48,251.72,253.26,301708.91,7725244.308
002594.SZ,20220104,276.0,279.45,265.22,271.0,244660.89,6673692.547
002594.SZ,20211231,273.0,274.19,267.0,268.12,116291.97,3136714.687
002594.SZ,20211230,268.0,272.98,266.0,267.13,117326.73,3158736.176
002594.SZ,20211229,272.15,272.22,263.0,269.0,141603.04,3783958.091
002594.SZ,20211228,268.15,271.0,266.21,270.85,118542.84,3183320.996
002594.SZ,20211227,269.0,271.54,266.0,267.03,107189.95,2874395.592
002594.SZ,20211224,281.98,282.0,264.96,270.0,209968.81,5675961.283
002594.SZ,20211223,282.03,284.9,277.16,279.99,123021.34,3451820.145
002594.SZ,20211222,280.01,285.18,277.01,279.22,144442.3,4061024.216
002594.SZ,20211221,270.5,276.78,269.41,276.21,149653.05,4098708.738
002594.SZ,20211220,279.23,281.47,268.28,270.5,217845.03,5964658.201
002594.SZ,20211217,284.0,285.88,278.61,278.98,151118.15,4240478.259
002594.SZ,20211216,293.0,293.49,279.0,286.2,278665.16,7928142.188
002594.SZ,20211215,293.41,295.5,291.71,293.35,98150.36,2877855.925
002594.SZ,20211214,295.5,297.07,291.69,293.4,157111.28,4609509.733
002594.SZ,20211213,302.99,303.0,298.0,298.4,142941.24,4278869.484
002594.SZ,20211210,295.99,302.03,292.8,301.42,144872.73,4325991.091
002594.SZ,20211209,300.0,300.63,297.03,299.5,112957.11,3375316.207
002594.SZ,20211208,296.01,301.0,294.5,300.79,154381.76,4606774.78
002594.SZ,20211207,306.01,306.35,291.08,294.8,227678.6,6727286.964
002594.SZ,20211206,301.0,311.51,300.86,301.75,178800.86,5465317.712
002594.SZ,20211203,306.99,309.8,298.86,306.9,210327.15,6367075.408
002594.SZ,20211202,305.0,314.06,303.1,308.8,180072.11,5567674.844
002594.SZ,20211201,305.2,307.5,300.38,305.32,108278.64,3295906.128
002594.SZ,20211130,307.0,308.0,303.0,304.7,131788.26,4023809.746
002594.SZ,20211129,291.8,307.07,289.93,304.46,200156.75,6053231.132
002594.SZ,20211126,295.0,304.77,294.05,297.66,122493.93,3671367.398
002594.SZ,20211125,303.2,304.49,291.3,298.0,170971.44,5070667.609
002594.SZ,20211124,305.43,309.6,301.0,303.2,141938.17,4319711.029
002594.SZ,20211123,307.88,309.73,303.98,308.48,150362.57,4609989.313
002594.SZ,20211122,298.4,311.51,298.2,311.0,287020.45,8785850.014
002594.SZ,20211119,295.72,300.0,288.0,296.82,175158.64,5144668.932
002594.SZ,20211118,294.8,298.88,290.0,295.4,129097.22,3802420.935
002594.SZ,20211117,300.0,303.24,294.0,296.85,163377.75,4875749.071
002594.SZ,20211116,294.0,297.69,288.0,293.51,151808.48,4462067.584
002594.SZ,20211115,306.78,306.78,290.44,294.94,225372.24,6667949.87
002594.SZ,20211112,315.8,316.74,305.5,306.78,148883.82,4590558.597
002594.SZ,20211111,313.0,316.99,308.05,311.99,138851.5,4327235.823
002594.SZ,20211110,314.0,315.6,301.58,310.26,274878.5,8480095.668
002594.SZ,20211109,315.05,329.97,315.05,320.69,203305.04,6580787.588
002594.SZ,20211108,308.09,319.61,307.0,315.0,169849.47,5344230.944
002594.SZ,20211105,324.0,327.0,313.01,314.0,194183.26,6178126.193
002594.SZ,20211104,311.13,329.0,309.03,325.0,349964.34,11223980.65
002594.SZ,20211103,313.13,313.85,299.86,303.01,197248.14,6017080.222
002594.SZ,20211102,310.0,319.8,307.64,313.88,290087.4,9102548.555
002594.SZ,20211101,301.41,308.41,293.82,302.0,284785.87,8570609.748
002594.SZ,20211029,305.13,313.76,293.77,311.31,347159.58,10585996.588
002594.SZ,20211028,319.61,323.8,305.4,307.98,298267.14,9334453.596
002594.SZ,20211027,313.0,326.73,311.28,321.74,219067.77,7024365.486
002594.SZ,20211026,330.5,333.33,317.76,319.01,313244.34,10148404.49
002594.SZ,20211025,303.11,318.65,302.23,317.35,335189.76,10469605.348
002594.SZ,20211022,292.2,301.0,289.0,300.0,336548.68,10022899.338
002594.SZ,20211021,291.0,292.6,284.01,287.01,180625.75,5184267.795
002594.SZ,20211020,286.0,295.0,285.24,290.6,217045.09,6300647.166
002594.SZ,20211019,288.0,294.91,284.0,284.79,193857.85,5581983.586
002594.SZ,20211018,284.25,288.63,280.04,285.92,216213.78,6155818.958
002594.SZ,20211015,275.0,287.5,271.0,283.33,287845.05,8089636.933
002594.SZ,20211014,271.0,275.99,268.14,272.94,177799.32,4844827.927
002594.SZ,20211013,257.01,273.6,254.33,271.2,321978.1,8631470.872
002594.SZ,20211012,255.0,262.9,253.01,257.01,211651.34,5464868.602
002594.SZ,20211011,253.1,263.1,248.0,255.75,211972.73,5448306.885
002594.SZ,20211008,257.98,259.98,250.0,253.0,194103.95,4939109.186
002594.SZ,20210930,238.2,249.7,237.2,249.51,225038.01,5528259.622
002594.SZ,20210929,243.0,244.88,235.0,236.0,245554.81,5859195.956
002594.SZ,20210928,251.9,253.82,246.29,246.86,162444.38,4060118.403
002594.SZ,20210927,254.0,257.49,246.8,252.5,179990.94,4548951.212
002594.SZ,20210924,250.96,257.5,247.0,251.77,158267.0,4002973.166
002594.SZ,20210923,253.83,257.52,248.88,249.92,149784.18,3773864.372
002594.SZ,20210922,248.0,251.44,244.03,247.2,163412.86,4037944.329
002594.SZ,20210917,253.0,257.0,250.49,255.12,139421.07,3544731.219
002594.SZ,20210916,261.15,264.77,250.53,251.0,220809.71,5613770.464
002594.SZ,20210915,267.89,270.0,260.0,261.15,218809.11,5742276.749
002594.SZ,20210914,261.39,276.0,257.06,269.23,354690.0,9581432.835
